19910723,183,311
19940531,83,272
19911225,0,261
19820711,272,244
19940530,78,233
19520625,344,217
19810616,300,217
19830725,89,217
19990706,328,217
20060803,317,217
20110723,356,217
19520721,317,211
19630729,294,211
19740704,311,211
19800922,267,211
19820719,306,211
19840807,300,211
20060802,322,211
19500802,289,206
19610725,272,206
19620619,267,206
19830806,272,206
19990705,322,206
20110724,306,206
19520618,250,200
19520627,294,200
19520719,294,200
19520722,317,200
19550806,306,200
19610723,322,200
19610902,289,200
19680824,322,200
19700801,283,200
19710905,272,200
19800806,289,200
19830730,239,200
19840810,294,200
19880806,311,200
19940722,300,200
19950816,317,200
19960823,261,200
19990629,267,200
20100725,278,200
20110722,356,200
20110725,300,200
19520704,267,194
19520901,294,194
19530629,289,194
19530904,328,194
19550716,289,194
19550804,278,194
19630821,267,194
19650629,294,194
19720720,306,194
19720721,306,194
19720722,317,194
19720723,322,194
19730812,278,194
19770707,267,194
19770721,317,194
19790716,306,194
19800809,283,194
19880815,328,194
19900705,344,194
19930707,322,194
19930708,306,194
19940723,267,194
19950706,294,194
19950717,306,194
19950815,306,194
19960521,317,194
20010724,300,194
20040618,233,194
20050814,278,194
20050821,272,194
20060728,278,194
20130718,311,194
19510709,278,189
19510815,294,189
19520718,328,189
19520720,300,189
19520727,311,189
19520805,261,189
19520810,261,189
19520816,278,189
19530730,278,189
19550728,250,189
19550830,300,189
19570618,333,189
19570913,244,189
19580702,283,189
19620807,289,189
19660728,272,189
19680701,306,189
19680718,306,189
19680719,322,189
19680807,300,189
19680821,294,189
19680825,267,189
19710701,306,189
19720724,311,189
19730811,261,189
19730828,300,189
19770808,244,189
19770811,256,189
19800721,322,189
19810615,244,189
19810903,211,189
19820720,267,189
19830731,294,189
19850905,272,189
19880804,339,189
19880812,317,189
19940708,322,189
19940709,306,189
19950627,283,189
19950716,333,189
19950727,289,189
19960520,322,189
19970622,300,189
20000612,283,189
20010725,311,189
20020921,278,189
20040731,244,189
20060801,294,189
20060804,294,189
20060828,211,189
20100714,267,189
20100804,278,189
20100805,278,189
20100812,289,189
20100816,250,189
20110807,244,189
19500624,294,183
19520617,328,183
19520626,344,183
19530720,289,183
19530723,272,183
19540825,289,183
19550807,256,183
19550811,256,183
19550815,289,183
19560622,300,183
19570612,250,183
19570623,283,183
19570709,256,183
19570722,283,183
19570903,283,183
19580703,294,183
19580708,228,183
19580715,289,183
19580716,267,183
19590630,267,183
